2001	2	16	14	29	35	2.64	1	50.04	38.42
2002	12	15	16	34	39	3.20	1	52.71	35.93
1977	9	30	16	50	36	4.99	1	45.02	40.04
2000	12	31	19	9	58	3.79	2	42.66	38.19
1999	4	21	0	21	9	3.99	2	44.05	41.17
1993	4	8	9	48	3	4.39	2	47.96	37.85
1988	12	7	18	5	41	4.59	2	44.21	40.9
1988	12	7	10	56	50	4.89	2	44.24	40.96
1988	12	31	4	7	9	4.89	2	44.05	40.95
2000	11	26	1	16	26	3.10	3	48.43	34.36
1993	4	24	12	29	19	3.39	3	44.09	41.36
1981	3	28	19	59	25	4.09	3	44.92	39.66
2000	10	17	23	47	43	4.19	3	45.87	41.85
1991	10	15	3	12	31	4.59	3	46.69	34.44
2001	12	4	9	40	28	4.59	3	43.26	38.59
1989	3	30	16	36	23	4.69	3	43.95	41.06
1979	2	3	14	49	18	4.79	3	44.22	41.32
1993	2	19	18	13	28	4.79	3	45.01	40.57
1979	4	25	7	39	44	4.89	3	44.08	41.26
2004	6	7	17	58	25	2.91	4	49.9	34.25
2000	7	21	18	27	26	3.00	4	46.62	34.98
2001	6	24	7	5	18	3.79	4	52.18	35.84
2004	1	24	4	40	42	4.39	4	44.8	38.29
1953	10	4	22	25	0	4.64	4	48.5	40.8
1927	5	14	20	29	15	5.17	4	46	41.5
1958	6	25	1	14	2	5.41	4	52.8	36.27
2004	6	8	4	43	57	2.73	5	43.51	40.22
2004	6	6	20	29	37	2.79	5	42.79	37.67
2004	4	11	5	2	47	3.30	5	43.76	38.96
1983	1	2	1	29	36	3.69	5	46.06	41.7
2002	8	17	13	37	31	3.89	5	46.09	41.96
2000	11	17	0	27	56	4.09	5	42.93	38.24
2002	4	1	20	34	51	4.09	5	43.99	37.13
2003	6	9	20	17	47	4.09	5	45.86	41.21
2001	2	3	16	16	38	4.39	5	45.65	41.41
1962	10	12	11	21	51	4.41	5	45.7	40.8
1973	3	11	8	55	13	4.41	5	44.15	41.39
1989	4	2	10	30	14	4.49	5	46.33	35.12
1983	12	15	7	17	42	4.59	5	46.11	40.24
1928	11	30	22	5	6	4.88	5	45.3	41
1968	6	9	0	56	30	5.19	5	46.06	39.1
1953	9	2	0	36	1	5.35	5	47.4	41.1
1951	1	16	17	53	52	5.41	5	49.6	39.31
2001	2	28	2	44	32	2.40	6	49.26	36.63
2001	6	20	0	0	6	2.40	6	49.91	34.33
2004	8	30	12	16	4	2.48	6	51.85	36.49
2004	9	9	1	36	49	2.48	6	51.26	35.82
2004	8	17	7	35	0	2.64	6	51.87	36.48
2003	10	4	16	3	4	2.73	6	45.58	34.55
2004	6	2	7	27	32	3.00	6	51.62	36.41
2004	1	16	11	21	29	3.79	6	44.15	41.11
2002	3	23	17	17	7	3.99	6	45.77	41.96
2002	8	29	22	36	27	3.99	6	45.99	41.78
2001	1	23	9	27	53	4.19	6	46.61	40.16
2002	12	1	6	26	36	4.29	6	46.76	41.68
1999	9	29	11	54	49	4.39	6	46.14	41.97
1982	1	17	10	27	42	4.49	6	44.05	41.1
1975	11	6	4	9	32	4.79	6	53.15	36
1988	4	21	10	1	45	4.79	6	44.11	39.04
1929	12	25	22	26	2	4.82	6	48.7	39.4
1959	12	12	23	55	43	4.88	6	49.6	40.7
1988	10	26	14	49	20	4.89	6	52.23	35.12
1961	12	17	14	28	40	4.94	6	50	40.5
1963	2	18	14	3	37	4.94	6	47.04	40.07
1945	9	5	20	24	0	5.06	6	45	40.7
1954	10	30	23	43	29	5.47	6	45.93	40.26
1971	12	20	1	41	2	5.53	6	48.42	41.15
2004	5	30	0	5	17	2.33	7	51.51	36.23
2004	4	11	5	23	0	3.20	7	43.9	38.91
